"bacterium_clean","gene","r_primary","r","q","sig_downstream","sig_primary","evidence","upper_right"
"s  Streptomyces lividans","CCND1",0.3024,0.1432,0.0096,TRUE,TRUE,"novel",TRUE
"s  Priestia megaterium","CCND1",0.2576,0.0497,0.4309,FALSE,TRUE,"novel",TRUE
"s  Streptomyces lividans","CTNNB1",0.3024,0.0263,0.7005,FALSE,TRUE,"novel",TRUE
"s  Streptomyces lividans","MYC",0.3024,0.0321,0.6344,FALSE,TRUE,"novel",TRUE
"s  Aquirufa sp. 9H-EGSE","CCND1",-0.4875,-0.2156,1e-04,TRUE,TRUE,"novel",FALSE
"s  Limnohabitans sp. 63ED37-2","CCND1",-0.4489,-0.1421,0.0102,TRUE,TRUE,"novel",FALSE
"s  Limnohabitans sp. 103DPR2","CCND1",-0.4483,-0.171,0.0017,TRUE,TRUE,"novel",FALSE
"s  Pseudomonas sp. OE 28.3","CCND1",-0.4384,-0.2139,1e-04,TRUE,TRUE,"novel",FALSE
"s  Candidatus Planktophila sulfonica","CCND1",-0.4213,-0.1663,0.0023,TRUE,TRUE,"novel",FALSE
"s  Sphingomonas panacisoli","CCND1",-0.4206,-0.1761,0.0012,TRUE,TRUE,"novel",FALSE
"s  Mycolicibacterium phocaicum","CTNNB1",-0.3962,-0.1137,0.0445,TRUE,TRUE,"novel",FALSE
"s  Mycolicibacterium phocaicum","CCND1",-0.3962,-0.1467,0.0079,TRUE,TRUE,"novel",FALSE
"s  Aurantimicrobium photophilum","CCND1",-0.3919,-0.1478,0.0075,TRUE,TRUE,"novel",FALSE
"s  Polynucleobacter sp. Adler-ghost","CCND1",-0.3897,-0.119,0.0347,TRUE,TRUE,"novel",FALSE
"s  Rhodoluna limnophila","CCND1",-0.3816,-0.1292,0.0208,TRUE,TRUE,"novel",FALSE
"s  Pseudomonas stutzeri","CTNNB1",-0.3796,-0.1827,7e-04,TRUE,TRUE,"novel",FALSE
"s  Pseudomonas stutzeri","CCND1",-0.3796,-0.2038,1e-04,TRUE,TRUE,"novel",FALSE
"s  Polynucleobacter sp. JS-JIR-II-b4","CCND1",-0.379,-0.1664,0.0023,TRUE,TRUE,"novel",FALSE
"s  Cutibacterium acnes","CTNNB1",-0.3739,-0.1609,0.0033,TRUE,TRUE,"novel",FALSE
"s  Cutibacterium acnes","MYC",-0.3739,-0.1465,0.008,TRUE,TRUE,"novel",FALSE
"s  Cutibacterium acnes","CCND1",-0.3739,-0.2742,0,TRUE,TRUE,"novel",FALSE
"s  Candidatus Planktophila dulcis","CCND1",-0.3701,-0.1401,0.0113,TRUE,TRUE,"novel",FALSE
"s  Rhodoluna lacicola","CCND1",-0.3636,-0.133,0.0169,TRUE,TRUE,"novel",FALSE
"s  Pantoea agglomerans","CCND1",-0.3603,-0.2081,1e-04,TRUE,TRUE,"novel",FALSE
"s  Lactobacillus iners","CCND1",-0.3566,-0.1816,8e-04,TRUE,TRUE,"novel",FALSE
"s  Candidatus Planktophila lacus","CCND1",-0.3559,-0.1625,0.003,TRUE,TRUE,"novel",FALSE
"s  Polynucleobacter sp. MWH-Aus1W21","CCND1",-0.3543,-0.1413,0.0106,TRUE,TRUE,"novel",FALSE
"s  Polynucleobacter asymbioticus","CCND1",-0.3453,-0.1157,0.0406,TRUE,TRUE,"novel",FALSE
"s  Sphingorhabdus lacus","CCND1",-0.343,-0.1533,0.0054,TRUE,TRUE,"novel",FALSE
