"bacterium_clean","gene","r_primary","r","q","sig_downstream","sig_primary","evidence","upper_right"
"s  Haemophilus parainfluenzae","SLC2A1",0.1512,0.065,0.8201,FALSE,FALSE,"novel",TRUE
"s  Haemophilus parainfluenzae","SLC16A1",0.1512,0.0199,0.962,FALSE,FALSE,"novel",TRUE
"s  Cutibacterium avidum","SLC2A1",0.1877,0.0982,0.6526,FALSE,FALSE,"novel",TRUE
"s  Cutibacterium avidum","SLC16A1",0.1877,0.1752,0.337,FALSE,FALSE,"novel",TRUE
"s  Cutibacterium avidum","SLC16A3",0.1877,0.0169,0.9742,FALSE,FALSE,"novel",TRUE
"s  Cutibacterium avidum","PFKP",0.1877,0.133,0.4662,FALSE,FALSE,"novel",TRUE
"s  Cutibacterium avidum","TIGAR",0.1877,0.0807,0.7412,FALSE,FALSE,"novel",TRUE
"s  Cutibacterium avidum","SESN2",0.1877,0.0571,0.8407,FALSE,FALSE,"novel",TRUE
"s  Streptococcus pneumoniae","SLC2A1",0.222,0.2026,0.283,FALSE,FALSE,"novel",TRUE
"s  Streptococcus pneumoniae","SLC16A1",0.222,0.1815,0.3247,FALSE,FALSE,"novel",TRUE
"s  Streptococcus pneumoniae","SLC16A3",0.222,0.0965,0.6585,FALSE,FALSE,"novel",TRUE
"s  Streptococcus pneumoniae","PFKP",0.222,0.1212,0.5331,FALSE,FALSE,"novel",TRUE
"s  Streptococcus pneumoniae","TIGAR",0.222,0.0049,0.9945,FALSE,FALSE,"novel",TRUE
"s  Streptococcus pneumoniae","SESN2",0.222,0.0443,0.885,FALSE,FALSE,"novel",TRUE
"s  Clostridium botulinum","PFKP",-0.1632,-0.3158,0.018,TRUE,FALSE,"novel",FALSE
"s  Clostridium botulinum","SLC2A1",-0.1632,-0.2578,0.081,FALSE,FALSE,"novel",FALSE
"s  Clostridium botulinum","SLC16A1",-0.1632,-0.1703,0.3517,FALSE,FALSE,"novel",FALSE
"s  Clostridium botulinum","SLC16A3",-0.1632,-0.2518,0.0966,FALSE,FALSE,"novel",FALSE
"s  Clostridium botulinum","TIGAR",-0.1632,-0.0542,0.8571,FALSE,FALSE,"novel",FALSE
"s  Clostridium botulinum","SESN2",-0.1632,-0.1635,0.3768,FALSE,FALSE,"novel",FALSE
"s  Haemophilus parainfluenzae","SLC16A3",0.1512,-0.0145,0.9883,FALSE,FALSE,"novel",FALSE
"s  Haemophilus parainfluenzae","PFKP",0.1512,-0.0341,0.9306,FALSE,FALSE,"novel",FALSE
"s  Haemophilus parainfluenzae","TIGAR",0.1512,-0.0652,0.8201,FALSE,FALSE,"novel",FALSE
"s  Haemophilus parainfluenzae","SESN2",0.1512,-0.0432,0.8876,FALSE,FALSE,"novel",FALSE
