"bacterium_clean","gene","r_primary","r","q","sig_downstream","sig_primary","evidence","upper_right"
"s  Priestia megaterium","SLC16A3",0.1522,0.2156,0.0312,TRUE,FALSE,"novel",TRUE
"s  Priestia megaterium","SLC2A1",0.1522,0.154,0.1575,FALSE,FALSE,"novel",TRUE
"s  Priestia megaterium","SLC16A1",0.1522,0.1149,0.3374,FALSE,FALSE,"novel",TRUE
"s  Priestia megaterium","PFKP",0.1522,0.11,0.3646,FALSE,FALSE,"novel",TRUE
"s  Priestia megaterium","TIGAR",0.1522,0.0013,0.9949,FALSE,FALSE,"novel",TRUE
"s  Priestia megaterium","SESN2",0.1522,0.0037,0.9844,FALSE,FALSE,"novel",TRUE
"s  Cutibacterium acnes","SLC16A1",-0.2211,-0.3034,9e-04,TRUE,TRUE,"novel",FALSE
"s  Pasteurella multocida","PFKP",-0.1652,-0.2496,0.0095,TRUE,FALSE,"novel",FALSE
"s  Sphingomonas melonis","SLC16A1",-0.163,-0.2894,0.0017,TRUE,FALSE,"novel",FALSE
"s  Sphingomonas melonis","PFKP",-0.163,-0.2014,0.0478,TRUE,FALSE,"novel",FALSE
"s  Sphingomonas melonis","TIGAR",-0.163,-0.2071,0.0407,TRUE,FALSE,"novel",FALSE
"s  Meiothermus silvanus","SLC16A1",-0.1576,-0.3639,0,TRUE,FALSE,"novel",FALSE
"s  Meiothermus silvanus","TIGAR",-0.1576,-0.2046,0.0436,TRUE,FALSE,"novel",FALSE
"s  Clostridium botulinum","PFKP",-0.1513,-0.2247,0.0236,TRUE,FALSE,"novel",FALSE
"s  Cutibacterium acnes","SLC2A1",-0.2211,-0.189,0.0683,FALSE,TRUE,"novel",FALSE
"s  Cutibacterium acnes","SLC16A3",-0.2211,-0.0761,0.5698,FALSE,TRUE,"novel",FALSE
"s  Cutibacterium acnes","PFKP",-0.2211,-0.1075,0.3752,FALSE,TRUE,"novel",FALSE
"s  Cutibacterium acnes","TIGAR",-0.2211,-0.0844,0.5129,FALSE,TRUE,"novel",FALSE
"s  Cutibacterium acnes","SESN2",-0.2211,-0.15,0.1708,FALSE,TRUE,"novel",FALSE
"s  Pasteurella multocida","SLC2A1",-0.1652,-0.1532,0.1599,FALSE,FALSE,"novel",FALSE
"s  Pasteurella multocida","SLC16A1",-0.1652,-0.0879,0.4944,FALSE,FALSE,"novel",FALSE
"s  Pasteurella multocida","SLC16A3",-0.1652,-0.1574,0.1459,FALSE,FALSE,"novel",FALSE
"s  Pasteurella multocida","TIGAR",-0.1652,-0.0349,0.8007,FALSE,FALSE,"novel",FALSE
"s  Pasteurella multocida","SESN2",-0.1652,-0.0625,0.6562,FALSE,FALSE,"novel",FALSE
"s  Sphingomonas melonis","SLC2A1",-0.163,-0.1223,0.2991,FALSE,FALSE,"novel",FALSE
"s  Sphingomonas melonis","SLC16A3",-0.163,0.0344,0.8008,FALSE,FALSE,"novel",FALSE
"s  Sphingomonas melonis","SESN2",-0.163,-0.1672,0.1218,FALSE,FALSE,"novel",FALSE
"s  Meiothermus silvanus","SLC2A1",-0.1576,-0.0871,0.4982,FALSE,FALSE,"novel",FALSE
"s  Meiothermus silvanus","SLC16A3",-0.1576,0.0647,0.6421,FALSE,FALSE,"novel",FALSE
"s  Meiothermus silvanus","PFKP",-0.1576,-0.0508,0.7172,FALSE,FALSE,"novel",FALSE
"s  Meiothermus silvanus","SESN2",-0.1576,-0.0665,0.6294,FALSE,FALSE,"novel",FALSE
"s  Clostridium botulinum","SLC2A1",-0.1513,-0.1875,0.071,FALSE,FALSE,"novel",FALSE
"s  Clostridium botulinum","SLC16A1",-0.1513,-0.1765,0.0968,FALSE,FALSE,"novel",FALSE
"s  Clostridium botulinum","SLC16A3",-0.1513,-0.1021,0.3963,FALSE,FALSE,"novel",FALSE
"s  Clostridium botulinum","TIGAR",-0.1513,-0.0369,0.7829,FALSE,FALSE,"novel",FALSE
"s  Clostridium botulinum","SESN2",-0.1513,0.0424,0.7422,FALSE,FALSE,"novel",FALSE
