"bacterium_clean","gene","r_primary","r","q","sig_downstream","sig_primary","evidence","upper_right"
"s  Staphylococcus simulans","SLC2A1",0.1518,0.2386,0,TRUE,TRUE,"novel",TRUE
"s  Staphylococcus simulans","SLC16A1",0.1518,0.1101,0.0302,TRUE,TRUE,"novel",TRUE
"s  Staphylococcus simulans","PFKP",0.1518,0.1096,0.0307,TRUE,TRUE,"novel",TRUE
"s  Staphylococcus simulans","TIGAR",0.1518,0.3032,0,TRUE,TRUE,"novel",TRUE
"s  Staphylococcus simulans","SESN2",0.1518,0.0598,0.2709,FALSE,TRUE,"novel",TRUE
"s  Sphingomonas melonis","SLC2A1",-0.266,-0.4015,0,TRUE,TRUE,"novel",FALSE
"s  Sphingomonas melonis","SLC16A1",-0.266,-0.1871,1e-04,TRUE,TRUE,"novel",FALSE
"s  Sphingomonas melonis","PFKP",-0.266,-0.1719,4e-04,TRUE,TRUE,"novel",FALSE
"s  Sphingomonas melonis","TIGAR",-0.266,-0.2215,0,TRUE,TRUE,"novel",FALSE
"s  Meiothermus silvanus","SLC2A1",-0.264,-0.4569,0,TRUE,TRUE,"novel",FALSE
"s  Meiothermus silvanus","SLC16A1",-0.264,-0.2046,0,TRUE,TRUE,"novel",FALSE
"s  Meiothermus silvanus","PFKP",-0.264,-0.1981,0,TRUE,TRUE,"novel",FALSE
"s  Meiothermus silvanus","TIGAR",-0.264,-0.3103,0,TRUE,TRUE,"novel",FALSE
"s  Halomonas sp. JS92-SW72","SLC2A1",-0.2381,-0.3382,0,TRUE,TRUE,"novel",FALSE
"s  Halomonas sp. JS92-SW72","SLC16A1",-0.2381,-0.1694,5e-04,TRUE,TRUE,"novel",FALSE
"s  Halomonas sp. JS92-SW72","PFKP",-0.2381,-0.2548,0,TRUE,TRUE,"novel",FALSE
"s  Halomonas sp. JS92-SW72","TIGAR",-0.2381,-0.2112,0,TRUE,TRUE,"novel",FALSE
"s  Moraxella osloensis","SLC2A1",-0.2348,-0.3014,0,TRUE,TRUE,"literature-supported",FALSE
"s  Moraxella osloensis","SLC16A1",-0.2348,-0.1715,5e-04,TRUE,TRUE,"literature-supported",FALSE
"s  Moraxella osloensis","PFKP",-0.2348,-0.2066,0,TRUE,TRUE,"literature-supported",FALSE
"s  Moraxella osloensis","TIGAR",-0.2348,-0.1111,0.0288,TRUE,TRUE,"literature-supported",FALSE
"s  Moraxella osloensis","SESN2",-0.2348,-0.142,0.0045,TRUE,TRUE,"literature-supported",FALSE
"s  Cutibacterium acnes","SLC2A1",-0.2237,-0.2935,0,TRUE,TRUE,"literature-supported",FALSE
"s  Cutibacterium acnes","SLC16A1",-0.2237,-0.1661,7e-04,TRUE,TRUE,"literature-supported",FALSE
"s  Cutibacterium acnes","PFKP",-0.2237,-0.1396,0.0053,TRUE,TRUE,"literature-supported",FALSE
"s  Cutibacterium acnes","TIGAR",-0.2237,-0.1554,0.0017,TRUE,TRUE,"literature-supported",FALSE
"s  Cutibacterium acnes","SESN2",-0.2237,-0.1124,0.0269,TRUE,TRUE,"literature-supported",FALSE
"s  Proteus mirabilis","SLC2A1",-0.2236,-0.2302,0,TRUE,TRUE,"novel",FALSE
"s  Proteus mirabilis","SLC16A1",-0.2236,-0.1184,0.0189,TRUE,TRUE,"novel",FALSE
"s  Proteus mirabilis","PFKP",-0.2236,-0.1778,3e-04,TRUE,TRUE,"novel",FALSE
"s  Proteus mirabilis","TIGAR",-0.2236,-0.1035,0.0422,TRUE,TRUE,"novel",FALSE
"s  Gordonia polyisoprenivorans","SLC2A1",-0.2078,-0.4246,0,TRUE,TRUE,"novel",FALSE
"s  Gordonia polyisoprenivorans","SLC16A1",-0.2078,-0.1843,2e-04,TRUE,TRUE,"novel",FALSE
"s  Gordonia polyisoprenivorans","PFKP",-0.2078,-0.2452,0,TRUE,TRUE,"novel",FALSE
"s  Gordonia polyisoprenivorans","TIGAR",-0.2078,-0.2197,0,TRUE,TRUE,"novel",FALSE
"s  Pasteurella multocida","SLC2A1",-0.2061,-0.2013,0,TRUE,TRUE,"novel",FALSE
"s  Pasteurella multocida","SLC16A1",-0.2061,-0.1037,0.042,TRUE,TRUE,"novel",FALSE
"s  Pasteurella multocida","PFKP",-0.2061,-0.1554,0.0017,TRUE,TRUE,"novel",FALSE
"s  Pasteurella multocida","TIGAR",-0.2061,-0.1366,0.0063,TRUE,TRUE,"novel",FALSE
"s  Pseudomonas sp. CIP-10","SLC2A1",-0.2024,-0.2781,0,TRUE,TRUE,"novel",FALSE
"s  Pseudomonas sp. CIP-10","SLC16A1",-0.2024,-0.1846,2e-04,TRUE,TRUE,"novel",FALSE
"s  Pseudomonas sp. CIP-10","PFKP",-0.2024,-0.1712,5e-04,TRUE,TRUE,"novel",FALSE
"s  Pseudomonas sp. CIP-10","TIGAR",-0.2024,-0.1749,3e-04,TRUE,TRUE,"novel",FALSE
"s  Spirosoma pollinicola","SLC2A1",-0.1926,-0.2985,0,TRUE,TRUE,"novel",FALSE
"s  Spirosoma pollinicola","SLC16A1",-0.1926,-0.1194,0.0179,TRUE,TRUE,"novel",FALSE
"s  Spirosoma pollinicola","PFKP",-0.1926,-0.2177,0,TRUE,TRUE,"novel",FALSE
"s  Pseudomonas sihuiensis","SLC2A1",-0.1846,-0.2919,0,TRUE,TRUE,"novel",FALSE
"s  Pseudomonas sihuiensis","SLC16A1",-0.1846,-0.2057,0,TRUE,TRUE,"novel",FALSE
"s  Pseudomonas sihuiensis","PFKP",-0.1846,-0.189,1e-04,TRUE,TRUE,"novel",FALSE
"s  Pseudomonas sihuiensis","TIGAR",-0.1846,-0.1075,0.0343,TRUE,TRUE,"novel",FALSE
"s  Clostridium tetani","SLC2A1",-0.1843,-0.1852,1e-04,TRUE,TRUE,"novel",FALSE
"s  Clostridium tetani","PFKP",-0.1843,-0.1731,4e-04,TRUE,TRUE,"novel",FALSE
"s  Clostridium tetani","TIGAR",-0.1843,-0.1539,0.0019,TRUE,TRUE,"novel",FALSE
"s  Staphylococcus aureus","SLC2A1",-0.1713,-0.3021,0,TRUE,TRUE,"novel",FALSE
"s  Staphylococcus aureus","SLC16A1",-0.1713,-0.1271,0.0114,TRUE,TRUE,"novel",FALSE
"s  Staphylococcus aureus","PFKP",-0.1713,-0.2209,0,TRUE,TRUE,"novel",FALSE
"s  Staphylococcus aureus","TIGAR",-0.1713,-0.1737,4e-04,TRUE,TRUE,"novel",FALSE
"s  Staphylococcus aureus","SESN2",-0.1713,-0.1155,0.0225,TRUE,TRUE,"novel",FALSE
"s  Klebsiella pneumoniae","SLC2A1",-0.1626,-0.2495,0,TRUE,TRUE,"novel",FALSE
"s  Klebsiella pneumoniae","SLC16A1",-0.1626,-0.103,0.0433,TRUE,TRUE,"novel",FALSE
"s  Klebsiella pneumoniae","PFKP",-0.1626,-0.1403,0.005,TRUE,TRUE,"novel",FALSE
"s  Klebsiella pneumoniae","TIGAR",-0.1626,-0.1514,0.0023,TRUE,TRUE,"novel",FALSE
"s  Klebsiella pneumoniae","SESN2",-0.1626,-0.1063,0.0366,TRUE,TRUE,"novel",FALSE
"s  Kinneretia sp. DAIF2","SLC2A1",-0.1547,-0.1761,3e-04,TRUE,TRUE,"novel",FALSE
"s  Kinneretia sp. DAIF2","SLC16A1",-0.1547,-0.1244,0.0134,TRUE,TRUE,"novel",FALSE
"s  Kinneretia sp. DAIF2","TIGAR",-0.1547,-0.1224,0.015,TRUE,TRUE,"novel",FALSE
"s  Sphingomonas melonis","SLC16A3",-0.266,0.0378,0.5075,FALSE,TRUE,"novel",FALSE
"s  Sphingomonas melonis","SESN2",-0.266,-0.0944,0.0652,FALSE,TRUE,"novel",FALSE
"s  Meiothermus silvanus","SLC16A3",-0.264,-0.0217,0.7083,FALSE,TRUE,"novel",FALSE
"s  Meiothermus silvanus","SESN2",-0.264,-0.0978,0.0566,FALSE,TRUE,"novel",FALSE
"s  Halomonas sp. JS92-SW72","SLC16A3",-0.2381,-0.0287,0.625,FALSE,TRUE,"novel",FALSE
"s  Halomonas sp. JS92-SW72","SESN2",-0.2381,-0.0816,0.1179,FALSE,TRUE,"novel",FALSE
"s  Moraxella osloensis","SLC16A3",-0.2348,-0.0315,0.5876,FALSE,TRUE,"literature-supported",FALSE
"s  Cutibacterium acnes","SLC16A3",-0.2237,0.0254,0.6673,FALSE,TRUE,"literature-supported",FALSE
"s  Proteus mirabilis","SLC16A3",-0.2236,-0.0138,0.8078,FALSE,TRUE,"novel",FALSE
"s  Proteus mirabilis","SESN2",-0.2236,-0.0311,0.5931,FALSE,TRUE,"novel",FALSE
"s  Gordonia polyisoprenivorans","SLC16A3",-0.2078,-0.0177,0.7583,FALSE,TRUE,"novel",FALSE
"s  Gordonia polyisoprenivorans","SESN2",-0.2078,-0.0811,0.1209,FALSE,TRUE,"novel",FALSE
"s  Pasteurella multocida","SLC16A3",-0.2061,-0.0175,0.7603,FALSE,TRUE,"novel",FALSE
"s  Pasteurella multocida","SESN2",-0.2061,-0.0345,0.549,FALSE,TRUE,"novel",FALSE
"s  Pseudomonas sp. CIP-10","SLC16A3",-0.2024,-0.0319,0.5819,FALSE,TRUE,"novel",FALSE
"s  Pseudomonas sp. CIP-10","SESN2",-0.2024,-0.0809,0.1213,FALSE,TRUE,"novel",FALSE
"s  Spirosoma pollinicola","SLC16A3",-0.1926,0.0217,0.7083,FALSE,TRUE,"novel",FALSE
"s  Spirosoma pollinicola","TIGAR",-0.1926,-0.0532,0.3323,FALSE,TRUE,"novel",FALSE
"s  Spirosoma pollinicola","SESN2",-0.1926,-0.1,0.0511,FALSE,TRUE,"novel",FALSE
"s  Pseudomonas sihuiensis","SLC16A3",-0.1846,-0.0043,0.9381,FALSE,TRUE,"novel",FALSE
"s  Pseudomonas sihuiensis","SESN2",-0.1846,-0.02,0.7283,FALSE,TRUE,"novel",FALSE
"s  Clostridium tetani","SLC16A1",-0.1843,-0.0876,0.0906,FALSE,TRUE,"novel",FALSE
"s  Clostridium tetani","SLC16A3",-0.1843,-0.0972,0.058,FALSE,TRUE,"novel",FALSE
"s  Clostridium tetani","SESN2",-0.1843,-0.0776,0.1401,FALSE,TRUE,"novel",FALSE
"s  Staphylococcus aureus","SLC16A3",-0.1713,-0.008,0.8891,FALSE,TRUE,"novel",FALSE
"s  Klebsiella pneumoniae","SLC16A3",-0.1626,-0.0344,0.5494,FALSE,TRUE,"novel",FALSE
"s  Kinneretia sp. DAIF2","SLC16A3",-0.1547,0.0409,0.4655,FALSE,TRUE,"novel",FALSE
"s  Kinneretia sp. DAIF2","PFKP",-0.1547,-0.0152,0.7916,FALSE,TRUE,"novel",FALSE
"s  Kinneretia sp. DAIF2","SESN2",-0.1547,-0.048,0.3875,FALSE,TRUE,"novel",FALSE
"s  Staphylococcus simulans","SLC16A3",0.1518,-0.0837,0.1075,FALSE,TRUE,"novel",FALSE
