"bacterium_clean","gene","r_primary","r","q","sig_downstream","sig_primary","evidence","upper_right"
"s  Moraxella osloensis","STAT3",-0.3795,-0.3082,0,TRUE,TRUE,"novel",FALSE
"s  Lawsonella clevelandensis","STAT3",-0.3242,-0.2897,0,TRUE,TRUE,"novel",FALSE
"s  Peptoniphilus harei","STAT3",-0.3231,-0.2608,0,TRUE,TRUE,"novel",FALSE
"s  Pseudomonas stutzeri","STAT3",-0.3068,-0.2504,0,TRUE,TRUE,"novel",FALSE
"s  Cutibacterium acnes","STAT3",-0.2974,-0.3329,0,TRUE,TRUE,"novel",FALSE
"s  Pseudomonas aeruginosa","STAT3",-0.2931,-0.2138,1e-04,TRUE,TRUE,"novel",FALSE
"s  Cutibacterium granulosum","STAT3",-0.2921,-0.3034,0,TRUE,TRUE,"novel",FALSE
"s  Clostridium botulinum","STAT3",-0.2745,-0.2601,0,TRUE,TRUE,"literature-supported",FALSE
"s  Streptococcus sanguinis","STAT3",-0.2745,-0.1973,2e-04,TRUE,TRUE,"literature-supported",FALSE
"s  Corynebacterium kroppenstedtii","STAT3",-0.2715,-0.2425,0,TRUE,TRUE,"novel",FALSE
"s  Salmonella enterica","STAT3",-0.2696,-0.2104,1e-04,TRUE,TRUE,"literature-supported",FALSE
"s  Corynebacterium matruchotii","STAT3",-0.2663,-0.2264,0,TRUE,TRUE,"novel",FALSE
"s  Finegoldia magna","STAT3",-0.2648,-0.2635,0,TRUE,TRUE,"novel",FALSE
"s  Corynebacterium kefirresidentii","STAT3",-0.2641,-0.3326,0,TRUE,TRUE,"novel",FALSE
"s  Corynebacterium tuberculostearicum","STAT3",-0.2593,-0.2423,0,TRUE,TRUE,"novel",FALSE
"s  Staphylococcus hominis","STAT3",-0.2558,-0.2162,0,TRUE,TRUE,"novel",FALSE
"s  Lactiplantibacillus plantarum","STAT3",-0.2516,-0.1969,3e-04,TRUE,TRUE,"novel",FALSE
"s  Rothia dentocariosa","STAT3",-0.2515,-0.2137,1e-04,TRUE,TRUE,"novel",FALSE
